연도,날짜,요일,홈,방문,구장,관중수
2024,2024.9.19,목,KT,삼성,수원,"12,617"
2024,2024.9.19,목,SSG,키움,문학,"14,848"
2024,2024.9.21,토,LG,두산,잠실,"23,236"
2024,2024.9.21,토,LG,두산,잠실,"23,750"
2024,2024.9.21,토,KT,SSG,수원,"15,805"
2024,2024.9.22,일,한화,롯데,대전,"12,000"
2024,2024.9.22,일,LG,두산,잠실,"23,750"
2024,2024.9.22,일,KT,SSG,수원,"15,049"
2024,2024.9.22,일,삼성,키움,대구,"24,000"
2024,2024.9.23,월,한화,롯데,대전,"10,407"
2024,2024.9.23,월,두산,SSG,잠실,"22,489"
2024,2024.9.23,월,KIA,삼성,광주,"20,500"
2024,2024.9.24,화,키움,한화,고척,"16,000"
2024,2024.9.24,화,SSG,LG,문학,"19,911"
2024,2024.9.24,화,KT,롯데,수원,"13,304"
2024,2024.9.24,화,두산,NC,잠실,"22,064"
2024,2024.9.24,화,KIA,삼성,광주,"20,500"
2024,2024.9.25,수,LG,한화,잠실,"23,750"
2024,2024.9.25,수,KIA,롯데,광주,"20,500"
2024,2024.9.25,수,NC,SSG,창원,"6,157"
2024,2024.9.25,수,삼성,키움,대구,"24,000"
2024,2024.9.26,목,롯데,두산,사직,"18,727"
2024,2024.9.26,목,NC,SSG,창원,"6,377"
2024,2024.9.26,목,LG,키움,잠실,"21,593"
2024,2024.9.27,금,한화,KIA,대전,"12,000"
2024,2024.9.27,금,롯데,NC,사직,"22,758"
2024,2024.9.27,금,KT,키움,수원,"12,824"
2024,2024.9.28,토,롯데,KIA,사직,"22,758"
2024,2024.9.28,토,삼성,LG,대구,"24,000"
2024,2024.9.28,토,NC,두산,창원,"17,891"
2024,2024.9.28,토,한화,SSG,대전,"12,000"
2024,2024.9.28,토,KT,키움,수원,"18,700"
2024,2024.9.29,일,한화,NC,대전,"12,000"
2024,2024.9.30,월,KIA,NC,광주,"20,500"
2024,2024.9.30,월,SSG,키움,문학,"23,000"
2024,2024.10.1,화,NC,롯데,창원,"17,891"
